Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
diphenyl ethers degradation	PWY-7747	diphenyl ethers degradation	biphenyl 2,3-dioxygenase // cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase // biphenyl-2,3-diol 1,2-dioxygenase	diphenyl ether 2,3-diol + dioxygen  ->  (2Z,4E)-2-hydroxy-6-oxo-6-phenoxyhexa-2,4-dienoate + H+ // (2Z,4E)-2-hydroxy-6-oxo-6-phenoxyhexa-2,4-dienoate  ->  2-pyrone-6-carboxylate + phenol // (1S,2S)-3-phenoxycyclohexa-3,5-diene-1,2-diol + NAD+  ->  diphenyl ether 2,3-diol + NADH + H+ // diphenyl ether + NADPH + dioxygen + H+  ->  (1S,2S)-3-phenoxycyclohexa-3,5-diene-1,2-diol + NADP+	Aromatic Compound Degradation		Burkholderia cepacia // Cupriavidus sp. WS // Erwinia sp. // Sphingomonas sp. PH-07 // Sphingomonas sp. SS3	Bacteria <bacteria>
dinoflagellate bioluminescence	PWY-7912	dinoflagellate bioluminescence	dinoflagellate luciferase	chlorophyllide a + dioxygen  ->  dinoflagellate luciferin + Mg2+ // dinoflagellate luciferin + dioxygen  ->  dinoflagellate oxyluciferin + hnu + H2O	Bioluminescence		Alexandrium tamarense // Lingulaulax polyedra // Noctiluca scintillans // Protoperidinium depressum // Pyrocystis fusiformis // Pyrocystis lunula // Pyrocystis noctiluca	Dinophyceae
dimycocerosyl triglycosyl phenolphthiocerol biosynthesis	PWY-7743	dimycocerosyl triglycosyl phenolphthiocerol biosynthesis // PGL biosynthesis // triglycosyl dimycocerosyl phenolphthiocerol biosynthesis	phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase // phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase // dimycocerosyl phenolphthiocerol rhamnosyltransferase // 4-<i>O</i>-(&alpha;-L-rhamnopyranosyl)-hydroxybenzoate methyl ester 2'-<i>O</i>-methyltransferase // mycoside B rhamnosyltransferase // [&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol fucosyltransferase // [&alpha;-L-fucopyranosyl-(1&rarr;3)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol 2'''-<i>O</i>-methyltransferase // [2-<i>O</i>-methyl-&alpha;-L-fucopyranosyl-(1&rarr;3)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol 4'''-<i>O</i>-methyltransferase // [2,4-di-<i>O</i>-methyl-&alpha;-L-fucopyranosyl-(1&rarr;3)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol 3'''-<i>O</i>-methyltransferase // mycocerosic acid synthase // long-chain fatty acid adenylyltransferase FadD28	a long-chain fatty-acyl adenylate ester + holo-[mycocerosic acid synthase]  ->  long-chain fatty acyl-[mycocerosic acid synthase] + AMP + H+ // long-chain fatty acyl-[mycocerosic acid synthase] + n (S)-methylmalonyl-CoA + 2n NADPH + 3n H+  ->  mycocerosyl-[mycocerosic acid synthase] + n coenzyme A + n CO2 + 2n NADP+ + n H2O // a [2,4-di-O-methyl-alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + S-adenosyl-L-methionine  ->  PGL-tb + S-adenosyl-L-homocysteine + H+ // a [2-O-methyl-alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + S-adenosyl-L-methionine  ->  a [2,4-di-O-methyl-alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + S-adenosyl-L-homocysteine + H+ // an [alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + S-adenosyl-L-methionine  ->  a [2-O-methyl-alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + S-adenosyl-L-homocysteine + H+ // an [alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + GDP-beta-L-fucose  ->  an [alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + GDP + H+ // mycoside B + dTDP-beta-L-rhamnose  ->  an [alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol + dTDP + H+ // an (alpha-L-rhamnopyranosyl) dimycocerosyl phenol-phthiocerol + S-adenosyl-L-methionine  ->  mycoside B + S-adenosyl-L-homocysteine + H+ // a dimycocerosyl phenolphthiocerol + dTDP-beta-L-rhamnose  ->  an (alpha-L-rhamnopyranosyl) dimycocerosyl phenol-phthiocerol + dTDP + H+ // a phenolphthiocerol + 2 mycocerosyl-[mycocerosic acid synthase]  ->  a dimycocerosyl phenolphthiocerol + 2 holo-[mycocerosic acid synthase] // a long-chain fatty acid + ATP + H+  ->  a long-chain fatty-acyl adenylate ester + diphosphate	Fatty Acid and Lipid Biosynthesis		Mycobacterium tuberculosis variant bovis // Mycobacterium marinum // Mycobacterium tuberculosis	Nocardiaceae // Mycobacteriaceae
dimycocerosyl phthiocerol biosynthesis	PWY-7744	dimycocerosyl phthiocerol biosynthesis // DIM biosynthesis // PDIM biosynthesis	phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase // phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase // mycocerosic acid synthase // long-chain fatty acid adenylyltransferase FadD28	a long-chain fatty-acyl adenylate ester + holo-[mycocerosic acid synthase]  ->  long-chain fatty acyl-[mycocerosic acid synthase] + AMP + H+ // a long-chain fatty acid + ATP + H+  ->  a long-chain fatty-acyl adenylate ester + diphosphate // long-chain fatty acyl-[mycocerosic acid synthase] + n (S)-methylmalonyl-CoA + 2n NADPH + 3n H+  ->  mycocerosyl-[mycocerosic acid synthase] + n coenzyme A + n CO2 + 2n NADP+ + n H2O // a phthiocerol + 2 mycocerosyl-[mycocerosic acid synthase]  ->  a dimycocerosyl phthiocerol + 2 holo-[mycocerosic acid synthase]	Fatty Acid and Lipid Biosynthesis		Mycobacterium marinum // Mycobacterium tuberculosis // Mycobacterium tuberculosis variant bovis	Nocardiaceae // Mycobacteriaceae
dimorphecolate biosynthesis	PWY-5368	dimorphecolate biosynthesis // dimorphecolic acid biosynthesis	oleoyl-lipid 12-(<i>E</i>) desaturase // (9Z,12E)-octadecadienoyl-lipid 9-hydroxylase	oleoyl-CoA + a glycerolipid  <-->  a [glycerolipid]-oleate + coenzyme A // a [glycerolipid]-(9Z,12E)-octadecadienoate + reduced two electron carrier + dioxygen  ->  a [glycerolipid]-dimorphecolate + oxidized electron carrier + H2O // a [glycerolipid]-oleate + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  a [glycerolipid]-(9Z,12E)-octadecadienoate + 2 ferricytochrome b5 + 2 H2O	Fatty Acid and Lipid Biosynthesis		Dimorphotheca sinuata	Magnoliopsida
dimethylsulfoniopropanoate degradation III (demethylation)	PWY-6052	dimethylsulfoniopropanoate degradation III (demethylation) // DMSP degradation // dimethylsulfoniopropionate degradation III (demethylation)	dimethylsulfoniopropionate demethylase	3-(methylsulfanyl)propanoate + a 5-methyltetrahydrofolate + H+  <-  dimethylsulfoniopropanoate + a tetrahydrofolate	Inorganic Nutrient Metabolism		Ruegeria pomeroyi // Ruegeria atlantica // Candidatus Pelagibacter // Desulfocicer vacuolatum // Desulfocicer niacini // Desulfobacterium sp. PM4 // ruegeria frisia	Bacteria <bacteria>
dimethylsulfoniopropanoate degradation II (cleavage)	PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage) // DMSP degradation // dimethylsulfoniopropionate degradation II (cleavage)	dimethylsulfoniopropanoate:acetyl-CoA transferase	acetyl-CoA + dimethylsulfoniopropanoate + H2O  ->  3-hydroxypropanoyl-CoA + acetate + dimethyl sulfide + H+	Inorganic Nutrient Metabolism		Burkholderia ambifaria // gamma proteobacterium HTCC2207 // Marinomonas sp. MED121 // Marinomonas sp. MWYL1 // Ruegeria pomeroyi // Sagittula stellata // Sinorhizobium fredii	Bacteria <bacteria>
dimethylsulfoniopropanoate degradation I (cleavage)	PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage) // DMSP degradation // dimethylsulfoniopropionate degradation I (cleavage)	dimethylsulfoniopropionate lyase // dimethylsulfoniopropionate lyase // DMSP lyase monomer // dimethylsulfoniopropionate lyase // dimethylsulfoniopropionate lyase	dimethylsulfoniopropanoate  ->  dimethyl sulfide + acrylate + H+	Inorganic Nutrient Metabolism		Ruegeria pomeroyi // Aspergillus sydowii // Roseovarius nubinhibens // Cereibacter sphaeroides // Cereibacter sphaeroides // Fulvimarina pelagi // Maritimibacter alkaliphilus // Pseudooceanicola batsensis // Dinoroseobacter shibae // Roseibium aggregatum // Yoonia vestfoldensis // Sulfitobacter sp. NAS-14.1 // Sulfitobacter sp. EE-36 // DSMP-degrading bacterium LFR // Ulva curvata // Anaerotignum propionicum // Eutrichosiphonia paniculata // Oceanimonas doudoroffii // Crypthecodinium cohnii // Emiliania huxleyi // Fusarium lateritium // Vertebrata lanosa // Halodesulfovibrio aestuarii // Alcaligenes faecalis M3A	Eukaryota // Bacteria <bacteria>
dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton)	PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton) // DMSP biosynthesis // dimethylsulfoniopropionate biosynthesis III (algae)	dimethylsulfonio-2-hydroxybutanoate hydroxylase/decarboxylase // 2-hydroxy-4-(methylsulfanyl)butanoate <i>S</i>-methyltransferase // 2-hydroxy-4-(methylsulfanyl)butanoate <i>S</i>-methyltransferase // 4-(methylsulfanyl)-2-oxobutanoate dehydrogenase // L-methionine transaminase	L-methionine + a 2-oxo carboxylate  <-->  4-(methylsulfanyl)-2-oxobutanoate + a proteinogenic amino acid // (2R)-2-hydroxy-4-(methylsulfanyl)butanoate + NADP+  <-  4-(methylsulfanyl)-2-oxobutanoate + NADPH + H+ // (2R)-2-hydroxy-4-(methylsulfanyl)butanoate + S-adenosyl-L-methionine  ->  (2R)-4-(dimethylsulfaniumyl)-2-hydroxybutanoate + S-adenosyl-L-homocysteine // (2R)-4-(dimethylsulfaniumyl)-2-hydroxybutanoate + 2 oxidized electron carrier + H2O  ->  dimethylsulfoniopropanoate + CO2 + 2 reduced two electron carrier	Metabolic Regulator Biosynthesis		Acropora cervicornis // Alexandrium tamarense // Amorphus coralli // Emiliania huxleyi // Fragilariopsis cylindrus // Roseibium aggregatum // Melosira nummuloides // Prymnesium parvum // Pseudooceanicola batsensis // Salipiger bermudensis // Tetraselmis // Thalassiosira pseudonana // Ulva intestinalis // Ulva lactuca	Acropora // Dinophyceae // Alphaproteobacteria // Haptophyta // Stramenopiles // Rhodophyta // Chlorophyta
dimethylsulfoniopropanoate biosynthesis II (Spartina)	PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina) // DMSP biosynthesis // dimethylsulfoniopropionate biosynthesis II (Spartina)	<i>S</i>-methyl-L-methionine decarboxylase // DMSP-amine oxidase	dimethyl(3-oxopropyl)sulfanium + NAD+ + H2O  ->  dimethylsulfoniopropanoate + NADH + 2 H+ // (3-aminopropyl)dimethylsulfanium + dioxygen + H2O  ->  dimethyl(3-oxopropyl)sulfanium + ammonium + hydrogen peroxide // S-methyl-L-methionine + H+  ->  (3-aminopropyl)dimethylsulfanium + CO2 // L-methionine + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + S-methyl-L-methionine	Metabolic Regulator Biosynthesis		Sporobolus alterniflorus // Sporobolus anglicus // Sporobolus foliosus // Sporobolus maritimus // Sporobolus x townsendii	Viridiplantae
dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia) // DMSP biosynthesis // dimethylsulfoniopropionate biosynthesis I (Wollastonia)	methionine S-methyltransferase subunit // dimethylsulfoniopropionate dehydrogenase	S-methyl-L-methionine + a 2-oxo carboxylate + H+  ->  dimethyl(3-oxopropyl)sulfanium + CO2 + a proteinogenic amino acid // dimethyl(3-oxopropyl)sulfanium + NAD+ + H2O  ->  dimethylsulfoniopropanoate + NADH + 2 H+ // L-methionine + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + S-methyl-L-methionine	Metabolic Regulator Biosynthesis		Wollastonia biflora	Viridiplantae
dimethylsulfide to cytochrome <i>c</i><sub>2</sub> electron transfer	PWY-6057	dimethylsulfide to cytochrome c2 electron transfer // DMS degradation // dimethylsulfide degradation III (oxidation) // dimethyl sulfide degradation III (oxidation)	dimethylsulfide dehydrogenase	dimethyl sulfide[out] + 2 oxidized cytochrome c2[in] + H2O[out]  ->  dimethyl sulfoxide[out] + 2 reduced cytochrome c2[in] + 2 H+[out]	Inorganic Nutrient Metabolism // Generation of Precursor Metabolites and Energy		Rhodovulum sulfidophilum // Thiocapsa roseopersicina	Bacteria <bacteria>
dimethyl sulfoxide degradation	PWY-6050	dimethyl sulfoxide degradation // DMSO degradation	NADH-dependent dimethylsulfoxide reductase // dimethylsulfoxide reductase	dimethyl sulfoxide + NAD(P)H + H+  ->  dimethyl sulfide + NAD(P)+ + H2O	Inorganic Nutrient Metabolism		Arthrobacter methylotrophus // Pseudarthrobacter sulfonivorans // Halobacterium salinarum // Hyphomicrobium sulfonivorans // Hyphomicrobium denitrificans // Hyphomicrobium sp. EG // Hyphomicrobium sp. S	Eukaryota // Bacteria <bacteria> // Archaea
dimethyl sulfone degradation	PWY-6058	dimethyl sulfone degradation	dimethylsulfone reductase	dimethyl sulfoxide + NAD+ + H2O  <-  dimethyl sulfone + NADH + H+	Inorganic Nutrient Metabolism		Arthrobacter methylotrophus // Pseudarthrobacter sulfonivorans // Hyphomicrobium sulfonivorans	Bacteria <bacteria>
dimethyl sulfide degradation II (oxidation)	PWY-6059	dimethyl sulfide degradation II (oxidation) // DMS degradation // dimethylsulfide degradation II (oxidation)	dimethylsulfone monooxygenase // dimethylsulfone monooxygenase // methanesulfonate monooxygenase // dimethylsulfoxide monooxygenase	dimethyl sulfide + NADH + dioxygen + H+  ->  dimethyl sulfoxide + NAD+ + H2O // methanesulfonate + FMNH2 + dioxygen  ->  formaldehyde + sulfite + FMN + H2O + 2 H+ // dimethyl sulfone + FMNH2 + dioxygen  ->  methanesulfinate + formaldehyde + FMN + H2O + 2 H+ // methanesulfinate + FMNH2 + dioxygen  ->  methanesulfonate + FMN + H2O + H+ // dimethylsulfoxide hydroxylase	Inorganic Nutrient Metabolism		Pseudomonas fluorescens // Acinetobacter sp. strain 20B // Alcaligenes sp. strain E1 // Pseudomonas putida // Rhodococcus sp. strain SY1	Bacteria <bacteria>
dimethyl sulfide degradation I	PWY-6047	dimethyl sulfide degradation I // DMS degradation // dimethylsulfide degradation I	dissimilatory dimethyl-sulfide monooxygenase // methanthiol oxidase	methanethiol + dioxygen + H2O  ->  formaldehyde + hydrogen sulfide + hydrogen peroxide // dimethyl sulfide + NADH + dioxygen + H+  ->  methanethiol + formaldehyde + NAD+ + H2O	Inorganic Nutrient Metabolism		Hyphomicrobium denitrificans // Hyphomicrobium sulfonivorans // Methylophaga thiooxydans // Ruegeria pomeroyi // Hyphomicrobium sp. EG // Hyphomicrobium sp. S // Hyphomicrobium sp. VS // Thiobacillus thioparus // Thiobacillus thioparus	Bacteria <bacteria>
dimethyl sulfide biosynthesis from methionine	PWY-7793	dimethyl sulfide biosynthesis from methionine // methanethiol methylation	methionine &gamma;-lyase // methanethiol <i>S</i>-methyltransferase	methanethiol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + dimethyl sulfide + H+ // L-methionine + H2O  ->  methanethiol + 2-oxobutanoate + ammonium	Inorganic Nutrient Metabolism		Bradyrhizobium diazoefficiens // Crocosphaera subtropica // Maricaulis maris // Mycobacterium tuberculosis // Pseudomonas deceptionensis // Pseudomonas fragi	Bacteria <bacteria>
DIMBOA-glucoside biosynthesis	PWY-6950	DIMBOA-glucoside biosynthesis // DIMBOA biosynthesis	TRIBOA-glucoside 7-<i>O</i>-methyltransferase // DIMBOA-glucoside dioxygenase	DIBOA-beta-D-glucoside + 2-oxoglutarate + dioxygen  ->  TRIBOA-beta-D-glucoside + succinate + CO2 // TRIBOA-beta-D-glucoside + S-adenosyl-L-methionine  ->  DIMBOA-beta-D-glucoside + S-adenosyl-L-homocysteine + H+	Secondary Metabolite Biosynthesis		Aphelandra squarrosa // Coix lacryma-jobi // Triticum aestivum // Zea mays	Magnoliopsida
DIMBOA-glucoside activation	PWY-4441	DIMBOA-glucoside activation	beta-glucosidase	DIMBOA-beta-D-glucoside + H2O  ->  DIMBOA + D-glucopyranose + H+	Metabolite Activation		Zea mays	Poaceae
dihydroconiferyl alcohol biosynthesis	PWY-6302	dihydroconiferyl alcohol biosynthesis // dihydroconiferyl aldehyde biosynthesis	phenylpropenal double-bond reductase	dihydroconiferyl aldehyde + NADPH + H+  ->  dihydroconiferyl alcohol + NADP+ // coniferaldehyde + NADPH + H+  ->  dihydroconiferyl aldehyde + NADP+	Aromatic Compound Biosynthesis		Pinus taeda	Tracheophyta
digitoxigenin biosynthesis	PWY-6032	digitoxigenin biosynthesis // cardenolide biosynthesis	progesterone 5&alpha;-reductase // NADPH:3alpha-hydroxysteroid 5alpha-oxidoreductase // progesterone 5&beta;-reductase // 3&beta;-hydroxy-5&beta;-steroid dehydrogenase // malonyl-CoA:21-hydroxypregnane-21-<i>O</i>-malonyltransferase	digitoxigenin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  gitoxigenin + oxidized [NADPH-hemoprotein reductase] + H2O // malonyl-CoA + 3beta,14beta,21-trihydroxy-5beta-pregnane-20-one  ->  3beta,14beta-dihydroxy-5beta-pregnane-20-one-21-O-malonylhemiester + coenzyme A // (20,21)-dihydro-20-hydroxydigitoxigenin  ->  digitoxigenin + H2O // 3beta,14beta-dihydroxy-5beta-pregnane-20-one-21-O-malonylhemiester + H+  ->  (20,21)-dihydro-20-hydroxydigitoxigenin + CO2 // 5beta-pregnane-3beta,14beta-diol-20-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3beta,14beta,21-trihydroxy-5beta-pregnane-20-one + oxidized [NADPH-hemoprotein reductase] + H2O // 3beta-hydroxy-5beta-pregnane-20-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  5beta-pregnane-3beta,14beta-diol-20-one + oxidized [NADPH-hemoprotein reductase] + H2O // 3beta-hydroxy-5beta-pregnane-20-one + NADP+  <-->  5beta-pregnan-3,20 dione + NADPH + H+ // 5beta-pregnan-3,20 dione + NADP+  <-  progesterone + NADPH + H+ // 3beta-hydroxy-5alpha-pregnane-20-one + NADP+  <-->  5alpha-dihydroprogesterone + NADPH + H+ // 5alpha-dihydroprogesterone + NADP+  <-  progesterone + NADPH + H+	Fatty Acid and Lipid Biosynthesis		Digitalis lanata // Digitalis purpurea	Digitalis
diethylphosphate degradation	PWY-5491	diethylphosphate degradation	phosphodiesterase subunit	ethylphosphate + H2O  ->  ethanol + phosphate // diethylphosphate + H2O  ->  ethylphosphate + ethanol + H+	Inorganic Nutrient Metabolism		Delftia acidovorans	Bacteria <bacteria>
dicranin biosynthesis	PWY-6603	dicranin biosynthesis // 9,12,15-octadecatrien-6-ynoic acid biosynthesis	acyl-lipid 6-desaturase // acyl-lipid 6-desaturase/acetylenase	&alpha;-linolenate &Delta;<sup>6</sup>-desaturase // a [glycerolipid]-linoleate + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  a [glycerolipid]-gamma-linolenate + 2 ferricytochrome b5 + 2 H2O // a [glycerolipid]-gamma-linolenate + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  a [glycerolipid]-((9Z,12Z)-octadecadien-6-ynoate + 2 ferricytochrome b5 + 2 H2O // a [glycerolipid]-stearidonate + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  a [glycerolipid]-dicranin + 2 ferricytochrome b5 + 2 H2O	Metabolic Clusters // Fatty Acid and Lipid Biosynthesis		Ceratodon purpureus // Dicranum scoparium	Bryophyta
DIBOA-glucoside biosynthesis	PWY-6949	DIBOA-glucoside biosynthesis // DIBOA biosynthesis // DIBOA-Glc biosynthesis	indolin-2-one monooxygenase // indole monooxygenase // HBOA monooxygenase // 3-hydroxyindolin-2-one monooxygenase // indole-3-glycerol phosphate lyase // indole-3-glycerol phosphate lyase // DIBOA 2-<small>D</small>-glucosyltransferase // DIBOA 2-<small>D</small>-glucosyltransferase	UDP-alpha-D-glucose + DIBOA  ->  DIBOA-beta-D-glucoside + UDP // (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate  <-->  indole + D-glyceraldehyde 3-phosphate // 3-hydroxyindolin-2-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  HBOA + oxidized [NADPH-hemoprotein reductase] + H2O // HBOA + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  DIBOA + oxidized [NADPH-hemoprotein reductase] + H2O + H+ // indole + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  indolin-2-one + oxidized [NADPH-hemoprotein reductase] + H2O // indolin-2-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3-hydroxyindolin-2-one + oxidized [NADPH-hemoprotein reductase] + H2O	Secondary Metabolite Biosynthesis		Aphelandra squarrosa // Coix lacryma-jobi // Consolida orientalis // Hordeum lechleri // Lamium galeobdolon // Secale cereale // Triticum aestivum // Zea mays	Magnoliopsida
dibenzothiophene desulfurization	PWY-681	dibenzothiophene desulfurization	2&prime;-hydroxybiphenyl-2-sulfinate desulfinase // NADH-dependent FMN oxidoreductase // dibenzothiophene monooxygenase // dibenzothiophene-5,5-dioxide monooxygenase	dibenzothiophene-5,5-dioxide + FMNH2 + NADH + dioxygen  ->  2'-hydroxybiphenyl-2-sulfinate + FMN + NAD+ + H2O + H+ // dibenzothiophene-5-oxide + FMNH2 + dioxygen  ->  dibenzothiophene-5,5-dioxide + FMN + H2O + H+ // dibenzothiophene + FMNH2 + dioxygen  ->  dibenzothiophene-5-oxide + FMN + H2O + H+ // FMNH2 + NAD+  <-  FMN + NADH + 2 H+ // 2'-hydroxybiphenyl-2-sulfinate + H2O  ->  sulfite + 2-hydroxybiphenyl + H+	Aromatic Compound Degradation		Mycobacterium sp. G3 // Paenibacillus sp. A11-2 // Rhodococcus erythropolis // Rhodococcus erythropolis // Rhodococcus qingshengii // Corynebacterium sp. strain SY1 // Rhodococcus YH3-3	Bacteria <bacteria>
