Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
G7668-MONOMER	GO:0071555 // GO:0008360 // GO:0043164 // GO:0009252	peptidoglycan glycosyltransferase MtgA // Mgt // YrbM // MtgA	RXN-16650	EC-2.4.99.28
MONOMER-124200		glycerol-3-phosphate oxidase // GlpO // &alpha;-glycerophosphate oxidase	GLYCEROL-3-PHOSPHATE-OXIDASE-RXN	EC-1.1.3.21
MONOMER-19789		hydroxyquinol 1,2-dioxygenase // TsdC	RXN-10137 // RXN-17556	EC-1.13.11.37
MONOMER-18394		TylO	RXN-15064	EC-2.3.1
MONOMER-16426		laminaribiose phosphorylase // &beta;-1,3-oligoglucan: orthophosphate glucosyltransferase	LAMINARIBIOSE-PHOSPHORYLASE-RXN	EC-2.4.1.31
MONOMER-18266		dihydroflavonol-4-reductase	RXN-600	EC-1.1.1.219
CPLX-6927			UROCANATE-HYDRATASE-RXN	EC-4.2.1.49
HS05019-MONOMER	GO:1900745 // GO:0046985 // GO:0045653 // GO:0045648 // GO:0035246 // GO:0032259 // GO:0031175 // GO:0019919 // GO:0018216 // GO:0008284 // GO:0007166 // GO:0006479 // GO:0006355 // GO:0006952	protein arginine <i>N</i>-methyltransferase 1 // interferon receptor 1-bound protein 4	RXN-16889	EC-2.1.1.321
MONOMER-12810		NahF	1.2.1.65-RXN	EC-1.2.1.65
MONOMER-12943		columbamine O-methyltransferase	2.1.1.118-RXN // 2.1.1.89-RXN	EC-2.1.1.118 // EC-2.1.1.89
MONOMER-18291		chalcone isomerase 1 // chalcone--flavonone isomerase 1	APIGNAR-RXN	EC-5.5.1.6
GLYCPDIESTER-CYTO-MONOMER	GO:0006629 // GO:0006071	glycerophosphodiester phosphodiesterase UgpQ // UgpQ // glycerophosphodiester phosphodiesterase, cytosolic	GLYCPDIESTER-RXN // RXN-14073 // RXN-14136 // RXN-14160	EC-3.1.4.46 // EC-3.1.4.2
EG10239-MONOMER	GO:0031297 // GO:0006260 // GO:0006269	DNA primase // SdgA // ParB // DnaP // DnaG	RXN0-5021	EC-2.7.7.102 // EC-2.7.7.101
AT4G13280-MONOMER		(Z)-&gamma;-bisabolene synthase	RXN-10005	EC-4.2.3.40
MONOMER-16034		premnaspirodiene oxygenase	RXN-4842 // RXN-11907	
YAR015W-MONOMER		Ade1	SAICARSYN-RXN	EC-6.3.2.6
MONOMER-16301		apyrase	RXN-12199 // RXN-12196 // RXN-12197 // RXN-12200 // RXN-12195 // RXN-12198	EC-3.6.1.5 // EC-3.6.1.15 // EC-3.6.1.6
MONOMER-86		CobM	2.1.1.133-RXN	EC-2.1.1.133
MONOMER-20114		Ni-sirohydrochlorin <i>a</i>,<i>c</i>-diamide synthase // CfbB	RXN-8060	EC-6.3.5.12
AT3G22740-MONOMER		homocysteine <i>S</i>-methyltransferase 3	MMUM-RXN	EC-2.1.1.10
MONOMER-21972		medium-chain acyl-CoA dehydrogenase	RXN-22997	EC-1.3.8.7
MONOMER-601		Ldh	L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
CPLX-7373			METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
EG11812-MONOMER		peptide&mdash;spermidine ligase YjfC // YjfC	RXN-24020	EC-6.3.1
CPLX-8640		2-dehydro-3-deoxyglucono/2-dehydro-3-deoxygalactonokinase	DEHYDDEOXGALACTKIN-RXN // DEOXYGLUCONOKIN-RXN	EC-2.7.1.178 // EC-2.7.1.58 // EC-2.7.1.45
MONOMER-18603		12-demethyl-elloramycin C12a O-methyltransferase // ElmD	RXN-15402	EC-2.1.1
CPLX-9528		acryloyl-CoA reductase	RXN-9087	EC-1.3.1.84
CPLX-6746		&Delta;<sup>1</sup>-pyrroline-5-carboxylate dehydrogenase, mitochondrial	RXN-14116 // RXN-14472	EC-1.2.1.88 // EC-1.2.1
CPLX66-1734		prothrombinase	3.4.21.38-RXN // 3.4.21.6-RXN	EC-3.4.21.38 // EC-3.4.21.6
MONOMER-12744		chloroplastic isopimara-7,15-diene synthase // isopimara-7,15-diene synthase	RXN-4861 // RXN-8514	EC-5.5.1.12 // EC-4.2.3.44
DAPASYN-CPLX		adenosylmethionine-8-amino-7-oxononanoate aminotransferase // adenosylmethionine-8-amino-7-oxononanoate transaminase	DAPASYN-RXN	EC-2.6.1.62
