Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
AT1G20510-MONOMER			RXN-10695	EC-6.2.1
CPLX-1741		nitric oxide reductase (cytochrome <em>c</em>) // cytochrome <i>c</i>-dependent nitric oxide reductase	NITRIC-OXIDE-REDUCTASE-RXN	EC-1.7.2.5
EG11004-MONOMER	GO:0006508	oligopeptidase B // Tlp // PtrB // protease II // OpdB	3.4.21.83-RXN	EC-3.4.21.83
ENSG00000176387-MONOMER	GO:0051384 // GO:0048545 // GO:0009410 // GO:0032868 // GO:0032094 // GO:0008211 // GO:0007565 // GO:0006704 // GO:0002017 // GO:0001666 // GO:0008152 // GO:0007267	corticosteroid 11-beta-dehydrogenase isozyme 2 // 11-beta-HSD2 // 11-beta-hydroxysteroid dehydrogenase type 2 // 11-DH2 // NAD-dependent 11-beta-hydroxysteroid dehydrogenase // 11&beta;HSD2	RXN-22010 // RXN-22012 // RXN-12085 // RXN-21983 // RXN-21982 // RXN-22008	EC-1.1.1.146
MONOMER-21416		tyvelosyltransferase // WbaV	RXN-21853 // RXN-21851	EC-2.4.1.60
EG10853-MONOMER		ribosomal-protein-L12-serine <i>N</i>-acetyltransferase // RimL	RXN0-5231	EC-2.3.1
MONOMER-22100		GH8-type endo-1,4-&beta;-xylanase // Xyl // PhXyl	3.2.1.8-RXN // RXN-23174	EC-3.2.1.M35 // EC-3.2.1.M32 // EC-3.2.1.8 // EC-3.2.1.M34
MONOMER-13506			3.5.2.17-RXN	EC-3.5.2.17
MONOMER-12257		phospho-N-acetylmuramoyl-pentapeptide-transferase // MraY	RXN-8975	EC-2.7.8.13
CPX-1275	GO:0031505 // GO:0016255 // GO:0006508	GPI-anchor transamidase complex // Glycosylphosphatidylinositol transamidase complex // GPI transamidase complex // GPIT complex	RXN3O-9967	EC-4.3.3.M5
MONOMER-11781		adenine-guanine phosphoribosyltransferase	HYPOXANPRIBOSYLTRAN-RXN // ADENPRIBOSYLTRAN-RXN // GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8 // EC-2.4.2.7
CPLX-9360		protomycinolide IV synthase complex	RXN-15055	EC-2.3.1
MONOMER-19590		&beta;-hydroxy-L-tryptophan 2,3-dioxygenase	RXN-17149	EC-1.13.11
MONOMER-18784		dihydromonacolin L hydroxylase // LovA	RXN-15674 // RXN-15671	EC-1.14.14.125
MONOMER-18668		sesquiterpenoid 3&beta;-hydroxylase	RXN-15533 // RXN-15532	EC-1.14.14
MONOMER18C3-14		sterol side chain reductase 2	RXN66-28 // RXN-4282	EC-1.3.1.72
MONOMER-20556		exo-xylogalacturonase A // PgxA	RXN-19791	EC-3.2.1
DIHYDRODIPICSYN-CPLX		4-hydroxy-tetrahydrodipicolinate synthase	DIHYDRODIPICSYN-RXN	EC-4.3.3.7
CPLX-8440		pesudooxynicotine oxidase	RXN-13088	EC-1.4.2.3
CPLX-8465		methylmalonyl-CoA mutase	METHYLMALONYL-COA-MUT-RXN	EC-5.4.99.2
CPLX-9647		anaerobic arsenite oxidase	1.20.99.1-RXN	EC-1.20.99.1
MONOMER-17856		flavonol 3-<i>O</i>-glucoside 4"-<i>O</i>-coumaroyltransferase	RXN-13983 // RXN-13977 // RXN-13954 // RXN-13948	EC-2.3.1
CYSTATHIONINE-BETA-LYASE-CPLX			CYSTATHIONINE-BETA-LYASE-RXN // RXN-15131 // LCYSDESULF-RXN // RXN-15129 // ALARACECAT-RXN	EC-4.4.1.13 // EC-4.4.1.1 // EC-4.4.1.28 // EC-5.1.1.10 // EC-5.1.1.1
G3O-31428-MONOMER	GO:1904462 // GO:0008152 // GO:0005975	ergosteryl-&beta;-glucosidase // steryl-&beta;-glucosidase	RXN3O-9782 // STERYL-BETA-GLUCOSIDASE-RXN	EC-3.2.1.104
MONOMER-20283		melleolide halogenase ArmH1	RXN-18831	EC-1.14.19
AT5G25265-MONOMER		hydroxyproline O-arabinosyltransferase	RXN-15011	EC-2.4.2.58
CPLX-8116		class Ic ribonucleoside-diphosphate reductase // ribonucleotide reductase	RIBONUCLEOSIDE-DIP-REDUCTI-RXN // CDPREDUCT-RXN	EC-1.17.4.1
GTP-CYCLOHYDRO-II-CPLX		GTP cyclohydrolase 2	GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
CPLX-6121		NAD-dependent succinate semialdehyde dehydrogenase	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
CPLX-9253		mannosyl-oligosaccharide &alpha;-1,3-glucosidase // &alpha;-glucosidase II	RXN-18908 // RXN-18907	EC-3.2.1.207
CPLX-7587			RXN-9159	EC-1.1.1.342
MONOMER-11585			2.7.7.30-RXN	EC-2.7.7.30
CPLX0-3941		phenylacetyl-CoA thioesterase	RXN0-7104 // RXN0-5065	EC-3.1.2
G18NG-10731-MONOMER		maleylacetate reductase I	MALEYLACETATE-REDUCTASE-RXN	EC-1.3.1.32
MONOMER-11389			RXN-7482	EC-1.14.14
CPLX-9452		dissimilatory nitrite reductase (ammonia-forming)	1.7.2.2-RXN	EC-1.7.2.2
MONOMER-18841		LmbK	RXN-15794	EC-3.1.3
AT2G30770-MONOMER		CYP71A13	RXN-19835 // RXN-19840 // RXN-19841 // RXN-19839 // RXN-19837	EC-1.14.14.M36
CPLX-9459			4.1.1.81-RXN // RXN-8626	EC-4.1.1.81 // EC-2.7.1.177
CPLX1F-106		&beta;-ring carotenoid hydroxylase // CHYb1	RXN-8039 // RXN1F-152 // RXN-8025 // RXN-8026	EC-1.14.15 // EC-1.14.15.24
CPLX0-7649		L-rhamnose mutarotase	RXN0-5306	EC-5.1.3.32
MONOMER-12298		1,2-dehydroreticuline reductase	1.5.1.27-RXN	EC-1.5.1.27
F16B-CPLX		fructose-1,6-bisphosphatase 1	F16BDEPHOS-RXN	EC-3.1.3.11
MONOMER-6107		&alpha;-3'-ketoglucosidase // 3'-keto-&alpha;-D-glucoside 3-ketoglucohydrolase	RXN-23373 // RXN-22812 // 3-KETOGLUCOSIDASE-RXN	EC-3.2.1.218
AT1G48320-MONOMER		DHNA-CoA thioesterase // 1,4-dihydroxy-2-naphthoyl-CoA thioesterase // 1,4-dihydroxy-2-naphthoyl-coenzyme A thioesterase	RXN-9311	EC-3.1.2.28
CPLX-7238			GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2
MONOMER-18821		ardeemin FQ synthetase // ArdA	RXN-15762	EC-6.3.2
CPLX-8207		acetylacetone-cleaving enzyme	RXN-12017	EC-1.13.11.50
CPLX-7268			LTAA-RXN	EC-4.1.2.48 // EC-4.1.2.49
MONOMER-15213		putrescine <i>N</i>-hydroxylase // AlcA	RXN-11006	EC-1.14.13.252
CPLX-8421		hydroxymethylglutaryl-CoA lyase	HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	EC-4.1.3.4
CPLX-7957		alcohol dehydrogenase (quinone)	RXN-11039	EC-1.1.5.5
MONOMER-124334		exo-inulinase Inu1	RXN-1841	EC-3.2.1.153
MONOMER-22121		phthalate ester hydrolase // phthalate esterase	RXN-23211 // RXN-23212	EC-3.1.1
EG11158-MONOMER	GO:0035999 // GO:0009396 // GO:0022611	5-formyltetrahydrofolate cyclo-ligase // Fau // YgfA	5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
CPLX-9715		L-aspartate dehydrogenase // non-NadB-type L-aspartate dehydrogenase	1.4.1.21-RXN // RXN-22981	EC-1.4.1.21
MONOMER-13444		dammarenediol-II synthase	RXN-8885	EC-4.2.1.125
HS02359-MONOMER	GO:0006096	phosphoglycerate kinase 1 // cell migration-inducing gene 10 protein // primer recognition protein 2 // PRP 2	PHOSGLYPHOS-RXN	EC-2.7.2.3
HS04130-MONOMER	GO:0021680 // GO:0008542 // GO:0007626 // GO:0007613 // GO:0007420 // GO:0005975	&beta;-1,4-galactosyltransferase 2 // b4Gal-T2 // &beta;-1,4-GalTase 2 // &beta;4Gal-T2 // UDP-Gal:&beta;-GlcNAc &beta;-1,4-galactosyltransferase 2 // UDP-galactose:&beta;-<i>N</i>-acetylglucosamine &beta;-1,4-galactosyltransferase 2	RXN-18306 // LACTOSE-SYNTHASE-RXN // 2.4.1.38-RXN // N-ACETYLLACTOSAMINE-SYNTHASE-RXN	EC-2.4.1.275 // EC-2.4.1.22 // EC-2.4.1.38 // EC-2.4.1.90
EG11424-MONOMER	GO:0000271 // GO:0009244 // GO:0009103	O-antigen ligase // WaaL // RfaL // M-antigen ligase // surface polymer:lipid A-core ligase	RXN0-5294 // RXN-22510 // RXN-25219	EC-2.4.99.26
MONOMER-17718			RXN1F-462	EC-2.4.1.91
CPLX66-334			2.1.1.5-RXN	EC-2.1.1.5
HMPREF1322_RS01445-MONOMER		dTDP-Rha:&alpha;-<small>D</small>-Gal-diphosphoundecaprenol &alpha;-1,3-rhamnosyltransferase GftD // GtfD	RXN-21844	EC-2.4.1.377
G185E-6383-MONOMER	GO:0040007 // GO:0009247	lipomannan &alpha;-(1&rarr;6)-mannosyltransferase // MptA	RXN185E-51	EC-2.4.1
MONOMER-21480		<small>L</small>-prolyl-[peptidyl-carrier protein] dehydrogenase	RXN-19066 // RXN-15780 // RXN-19071 // RXN-19070	EC-1.3.8.14
HS03054-MONOMER	GO:0006629 // GO:0008283 // GO:0006693	aldo-keto reductase family 1 member C3 // 17-beta-HSD 5 // 17-beta-hydroxysteroid dehydrogenase type 5 // 3&alpha;-HSD type 2 // 3-alpha-HSD type II, brain // 3-alpha-hydroxysteroid dehydrogenase type 2 // chlordecone reductase homolog HAKRb // DD-3 // DD3 // dihydrodiol dehydrogenase 3 // dihydrodiol dehydrogenase type I // HA1753 // indanol dehydrogenase // PGFS // prostaglandin F synthase // testosterone 17-beta-dehydrogenase 5 // trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	RXN-22006 // 1.1.1.213-RXN // RXN-12264 // RXN66-570 // RXN66-567 // 1.1.1.64-RXN // INDANOL-DEHYDROGENASE-RXN // 1.1.1.209-RXN // 1.1.1.188-RXN // RXN-21978 // RXN-21984	EC-1.1.1.64 // EC-1.1.1.213 // EC-1.1 // EC-1.1.1.112 // EC-1.1.1.357 // EC-1.1.1.209 // EC-1.1.1.50 // EC-1.1.1.188
CPLX-1821		diacylglycerol acyltransferase // DGAT	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	EC-2.3.1.20
MONOMER-124286		3-hydroxybutyryl-CoA dehydratase // FkbE	3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	EC-4.2.1.55
HP_RS07005-MONOMER		core oligosaccharide &alpha;-(1,4)-glucosyltransferase	RXN2DNV-17	EC-2.4.1
MONOMER-523			RXN-743	EC-2.4.1.85
CPLX-2301		methylthioalkylmalate synthase	RXNQT-4163 // RXN-2202	EC-2.3.3.17
MONOMER-21281		CoxE	RXN-21554	
CPLX-7354			GLUTAMATESYN-RXN // GLUTAMIN-RXN // RXN-20084	EC-1.4.1.13 // EC-3.5.1.38 // EC-3.5.1.2
MONOMER-20253		pterocarpan synthase	RXN-18736 // RXN-3602 // RXN-13699	EC-4.2.1.139
CPLX-7209		acireductone dioxygenase [iron(II)-requiring]	R146-RXN // R147-RXN	EC-1.13.11.53 // EC-1.13.11.54
MONOMER-15871		flavonoid <i>C</i>-glucosyltransferase	RXN-18724 // RXN-18732 // RXN-14085 // RXN-14079 // RXN-11685	EC-2.4.1.360
MONOMER-602		Pta	PHOSACETYLTRANS-RXN	EC-2.3.1.8
CPLX66-540		superoxide dismutase [Cu-Zn]	SUPEROX-DISMUT-RXN	EC-1.15.1.1
MONOMER-18177		aklanoate anthrone monooxygenase // DauA // DauG	RXN-14854	EC-1.13.12
CPLX-8437		succinate-semialdehyde dehydrogenase (NADP<small><sup>+</sup></small>)	SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
HS04742-MONOMER		MOCS3 adenylyltransferase/sulfurtransferase // molybdenum cofactor synthesis protein 3 // molybdopterin synthase sulfurylase // MPT synthase sulfurylase	RXN-18704 // RXN-18701 // RXN-18700 // RXN-12473 // RXN-11361	EC-2.8.1 // EC-2.7.7 // EC-2.8.1.11 // EC-2.7.7.80
OROPRIBTRANS-CPLX			OROPRIBTRANS-RXN	EC-2.4.2.10
MONOMER-16912		&beta;-cystathionase // cystathione &beta;-lyase	CYSTATHIONINE-BETA-LYASE-RXN // RXN-15131 // RXN-12729 // RXN-15137	EC-4.4.1.13
CPLX-7186		thiosulfate reductase (quinone)	RXN-18001	EC-1.8.5.5
CPLX-7975		D-arabitol-phosphate dehydrogenase	RXN-11107 // RXN-11106	EC-1.1.1 // EC-1.1.1.301
MONOMER-12771		(<i>trans</i>,<i>trans</i>)-&alpha;-farnesene synthase	RXN-8574	EC-4.2.3.46
MONOMER-4216		serine hydroxymethyltransferase // GlyA // SHMT	GLYOHMETRANS-RXN	EC-2.1.2.1
CPLX-7755			RIBOSYLHOMOCYSTEINASE-RXN	EC-4.4.1.21
CPLX-8723			UDP-GLUCURONATE-4-EPIMERASE-RXN	EC-5.1.3.6
MONOMER-19740		kynurenine 3-monooxygenase // SibC	KYNURENINE-3-MONOOXYGENASE-RXN	EC-1.14.13.9
MONOMER-20925		<i>N</i>-geranyl-L-glutamate oxygenase	RXN-20870 // RXN-20902 // RXN-20903 // RXN-20904	EC-1.14.14
MONOMER-13385		taxadiene synthase	4.2.3.17-RXN	EC-4.2.3.17
MONOMER-16293		thiol methyltransferase isoform II	RXN-13727 // RXN-13725 // THIOL-S-METHYLTRANSFERASE-RXN	EC-2.1.1.9
ANTHRANSYNCOMPII-MONOMER	GO:0008652 // GO:0009073 // GO:0002047 // GO:0000162	anthranilate synthase subunit TrpD // TrpD // TrpGD // anthranilate synthase component II	PRTRANS-RXN // ANTHRANSYN-RXN // GLUTAMIN-RXN // RXN-22711 // RXN-22729	EC-2.4.2.18 // EC-4.1.3.27 // EC-3.5.1.38 // EC-3.5.1.2
THIG-MONOMER	GO:0009229 // GO:0009228	1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase // ThiB // ThiG	THIAZOLSYN2-RXN	EC-2.8.1.10
CPLX-9571		dTDP-3-amino-3,6-dideoxy-D-galactose <i>N</i>-formyltransferase	RXN-22038	EC-2.1.2
MONOMER-10902		4-phytase LP2 // LP2	RXN-7246 // RXN-7245 // RXN-7244 // RXN-7242 // RXN-7241	EC-3.1.3.62 // EC-3.1.3.26
CPLX185E-41		glucose-6-phosphate dehydrogenase (coenzyme-F420)	RXN-11283	EC-1.1.98.2
MONOMER-12483			RXN-8283	EC-2.4.1
AT2G43820-MONOMER		salicylic acid / benzoic acid glucosyltransferase // AtSGT1 // UDP-glucose:salicylic acid glucosyltransferase / UDP-glucose:benzoic acid glucosyltransferase // UDP-glucose:salicylate glucosyltransferase / UDP-glucose:benzoate glucosyltransferase	RXN-11660 // RXN-11659 // RXN-11658 // RXN-11853	EC-2.4.1
HP_RS00540-MONOMER	GO:0019343 // GO:0019346 // GO:0008652 // GO:0009086	cystathionine &gamma;-lyase // HP0106 // MetB	RXN-15130 // RXN-14048	EC-4.4.1.1
MONOMER-21184		2,3-dioxo-L-gulonate cyclase // DkgM	RXN-12870	
MONOMER-19328		<i>L</i>-piperideine 6-carboxylate reductase	RXN-16267	EC-1.5.1
CPLX-7295			D-LACTALDEHYDE-DEHYDROGENASE-RXN	EC-1.1.1.78
HS02567-MONOMER		inositol monophosphatase 3 // myo-inositol monophosphatase A3 // inositol-1(or 4)-monophosphatase 3	RXN-10954 // RXN-10953 // RXN-10952 // RXN0-5408 // RXN-10949 // MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
MONOMER-21868		5-hydroxy-2,4-dioxopentanoate hydrolase	RXN-12096 // RXN-22815	EC-3.7.1.26
RHA1_RO08161-MONOMER		3,4-dihydroxyphthalate decarboxylase	34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN	EC-4.1.1.69
MONOMER-11863		flavone synthase II	RXN-19646 // RXN-7653 // RXN-7650	EC-1.14.19.76
G7247-MONOMER	GO:0006508	aminopeptidase YpdE // YpdE // broad-specificity exoaminopeptidase	RXN0-5051	EC-3.4.11
GQT-5411-MONOMER		plant 4,4-dimethylsterol C-4&alpha;-methyl-monooxygenase 1-3	RXN-19720 // RXN-11926 // RXN-11925 // RXN-11927	EC-1.14.18.10
CPLX-7661		malonate decarboxylase	RXN-19735 // RXN-9730	EC-4.1.1.88 // EC-4.1.1.87
MONOMER-20557		endo-polygalacturonase D // PgaD // pectinase D // polygalacturonase D	RXN-19792	EC-3.2.1.15
MONOMER-17118			PHOSACETYLGLUCOSAMINEMUT-RXN // RXN-16425 // RXN-16426	EC-5.4.2.3
MONOMER-351		HOMODA hydrolase // CmtE	RXN-668	EC-3.7.1
G185E-7813-MONOMER		HsaE	RXN-12734	EC-4.2.1.132
MONOMER-19935		tetracycline nonaketamide D-ring cyclase/dehydratase // OxyK	RXN-17987	EC-4.2.1.M9
AT1G60980-MONOMER		gibberellin 20-oxidase	RXN1F-164	EC-1.14.11
MONOMER-18918		cytosyl-4'-dehydro-&beta;-D-glucuronate transaminase // ArgH	RXN-15929	EC-2.6.1
MONOMER-16030			RXN-11904	EC-4.2.3.64
AT3G59970-CPLX			RXN-22438	EC-1.5.1.54
MONOMER-8201			ETHANOLAMINE-KINASE-RXN	EC-2.7.1.82
CPLX-8346		liver carboxylesterase 1	RXN-13425 // RXN-13424 // RXN-13423 // RETINYL-PALMITATE-ESTERASE-RXN // RXN-13126 // RXN-19416 // RXN-21569 // RXN-11272 // RXN-17577 // FATTY-ACYL-ETHYL-ESTER-SYNTHASE-RXN // ACETYLESTERASE-RXN // CARBOXYLESTERASE-RXN // 3.1.1.64-RXN // RXN-12575	EC-3.1.1 // EC-3.1.1.1 // EC-3.1.1.6 // EC-3.1.1.113 // EC-3.1.1.67
MONOMER-13152		3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	4.1.1.51-RXN	EC-4.1.1.51
CPLX-5121			2.1.1.5-RXN	EC-2.1.1.5
MONOMER-21488		dTDP-L-rhamnose:&beta;-D-Qui4NAc-(1&rarr;2)-&alpha;-D-Man-(1&rarr;4)-&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(1&rarr;3<sup>III</sup>)-rhamnosyltransferase WbbA // WbbA	RXN-22098	EC-2.4.1
CPLX-1061			ARGSUCCINSYN-RXN	EC-6.3.4.5
CPLX-7993		4-dimethylallyltryptophan synthase	TRYPTOPHAN-DIMETHYLALLYLTRANSFERASE-RXN	EC-2.5.1.34
ADENYLYLSULFKIN-CPLX			ADENYLYLSULFKIN-RXN	EC-2.7.1.25
PYRROLINECARBREDUCT-CPLX			PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
MONOMER-18423		2-haloacrylate hydratase	RXN-15141	EC-4.2.1
MONOMER-124373		2-<i>O</i>-methylflaviolin 3-<i>C</i>-methyltransferase	RXN-23737	EC-2.1.1
CPLX-7331			PHOSGLYPHOS-RXN	EC-2.7.2.3
MONOMER18C3-38		sucrose acyltransferase	RXN18C3-42	EC-2.3.1
MONOMER-124489		serotonin <i>N</i>-acetyltransferase 1, chloroplastic	RXN3DJ-35528	EC-2.3.1.87
MONOMER-15564		phytoene desaturase (lycopene-forming) // CrtI	RXN-12414 // RXN-8023 // RXN-8024 // RXN-8022 // RXN-12412	EC-1.3.99.31
CPLX0-782		lipoyl synthase	RXN-14957 // RXN-14950 // RXN0-949 // RXN-25170 // RXN-25169	EC-2.8.1.8
CPLX-9415		glutathione S-transferase F8	RXN-19600 // GST-RXN // GSHTRAN-RXN	EC-2.5.1.18
MONOMER-20307		pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase	RXN-19051	EC-4.99.1.12
MONOMER-21624		UDP-Glc:&alpha;-D-GalNAc-PP-Und &alpha;-(1,3)-glucosyltransferase // WdcD	RXN-21960	EC-2.4.1
AT4G08900-MONOMER		AT4G08900	ARGINASE-RXN	EC-3.5.3.1
MONOMER-13227		cobalt-precorrin-8 methylmutase // CbiC	RXN-8768	EC-5.4.99.60
MONOMER-124202		D-galactaro-1,5-lactonase/D-glucaro-1,5-lactonase // UxuL	RXN-15921 // RXN-23374	EC-3.1.1.M28
MONOMER-46		argininosuccinate synthetase	RXN-10	EC-6.3.4.5
MONOMER-12199		xylitol-2- dehydrogenase // D-xylulose reductase	D-XYLULOSE-REDUCTASE-RXN	EC-1.1.1.9
YLR146C-MONOMER		spermine synthase	SPERMINE-SYNTHASE-RXN	EC-2.5.1.22
DTDPDEHYDRHAMEPIM-MONOMER	GO:0000271 // GO:0019305 // GO:0009103 // GO:0009243 // GO:0009411 // GO:0046677 // GO:0006974	RfbD // RfbC // RmlC	DTDPDEHYDRHAMEPIM-RXN	EC-5.1.3.13
MONOMER-15830		1-phosphatidyl-1D-myo-inositol 3-phosphate phosphatase // PIP phosphatase	PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN	EC-3.1.3.64
CPLX0-237		serine acetyltransferase	SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
BSU03210-MONOMER	GO:0006537 // GO:0010133	1-pyrroline-5-carboxylate dehydrogenase // PutC // YcgN	RXN-24298	EC-1.97.1
EG10634-MONOMER	GO:0046050	UMP phosphatase // UmpH // NagD	RXN-14026 // XMPXAN-RXN // RXN-14025 // RXN-7609 // RXN-7607 // AMP-DEPHOSPHORYLATION-RXN // 5-NUCLEOTID-RXN	EC-3.1.3.91 // EC-3.1.3.5 // EC-3.1.3.99
MONOMER-21387		&Delta;8-&Delta;7-sterol isomerase	RXN-11884	EC-5.3.3.5
MONOMER-16237		2,4-didehydro-3-deoxy-L-fuconate hydrolase // L-2,4-diketo-3-deoxyrhamnonate hydrolase	RXN-12096	EC-3.7.1.26
MONOMER-16506		cellulase VII // Cel61b // endo-1,4-&beta;-glucanase VII // endoglucanase 61B	RXN-2043	EC-3.2.1.4
G185E-6303-MONOMER		prokaryotic ubiquitin-like protein ligase // PafA // Rv2097c	RXN-16707	EC-6.3.1.19
MONOMER-13304			ACETATEKIN-RXN	EC-2.7.2.15 // EC-2.7.2.1
CPLX-8175		PhnAB	ANTHRANSYN-RXN // GLUTAMIN-RXN // RXN-22711 // RXN-22729	EC-4.1.3.27 // EC-3.5.1.38 // EC-3.5.1.2
CPLX-8878			RXN-15654	EC-2.5.1
MONOMER-16544		pyrrole-2-carboxylate decarboxylase	RXN-12388 // RXN-12342	EC-4.1.1.93
MONOMER-17177		FMN reductase [NAD(P)H] // NdmD // oxidoreductase NdmD	RXN-9510 // RXN-12444 // FMNREDUCT-RXN // RXN-11518 // RXN-13110 // RXN-13109 // RXN-13106 // RXN-11516 // RXN-13111 // RXN-13108 // RXN-11517 // RXN-11513	EC-1.5.1.42 // EC-1.5.1.38 // EC-1.5.1.39 // EC-1.14.13.128 // EC-1.14.13.179 // EC-1.14.13.178
CPLX-4961		nicotinamide mononucleotide adenylyltransferase	2.7.7.1-RXN	EC-2.7.7.1
MONOMER-12618		acyl-lipid &Delta;12-conjugase	RXN-8413	EC-1.14.19.33
CPLX-7607		hydantoin racemase	RXN-9387	EC-5.1.99.5
CPLX-8496			RXN-13484 // PHENYLALANINE-AMMONIA-LYASE-RXN // RXN-18527	EC-5.4.3.10 // EC-4.3.1.25 // EC-4.3.1.24
MONOMER-11644		gibberellin 3-oxidase (multifunctional) // TaGA3ox2-1	RXN1F-170 // RXN1F-165 // RXN-14327 // RXN-14317 // RXN-14318 // RXN-6524 // RXN-6550 // RXN-14332	EC-1.14.11.15 // EC-1.14.11 // EC-1.14.20 // EC-1.14.11.13
MONOMER-13867			RXN-9299	EC-4.2.3.31
MONOMER-17065		dTDP-3,4-diketo-2,6-dideoxy-D-glucose 3-ketoreductase // OleW // dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose 3-ketoreductase	RXN-16262	EC-1.1.1.384
CPLX-7247			RXN-8568	EC-1.3.1.95
BSU07050-MONOMER		rhamnogalacturonan endolyase // YesW	RXN-12173	EC-4.2.2.23
CPLX-7018			ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
HS05303-MONOMER	GO:0007623	serotonin N-acetyltransferase // AA-NAT // aralkylamine N-acetyltransferase // serotonin acetylase	RXN-13870 // ARYLAMINE-N-ACETYLTRANSFERASE-RXN // RXN3DJ-35528 // ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.5 // EC-2.3.1.87
MONOMER-14779		flavonol 3'-<i>O</i>-methyltransferase	RXN-8262 // RXN-12616	EC-2.1.1.42
CPLX-5342		aspartate transaminase	ASPAMINOTRANS-RXN // CYSTEINE-AMINOTRANSFERASE-RXN // 3-SULFINOALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.1 // EC-2.6.1.3 // EC-2.6.1
HS00752-MONOMER	GO:0006631 // GO:0006091	3-ketoacyl-CoA thiolase, peroxisomal // peroxisomal 3-ketoacyl-CoA thiolase monomer // acetyl-CoA acyltransferase // &beta;-ketothiolase // peroxisomal 3-oxoacyl-CoA thiolase	RXN0-6512 // RXN-12710 // RXN-11246 // RXN-10701 // RXN-10700 // RXN-10699 // RXN-17791 // RXN-17787 // RXN-17778 // RXN-16561 // RXN-16560 // 2.3.1.155-RXN // RXN-17795 // RXN-13617 // RXN-17782 // RXN-14274 // RXN-14268 // RXN-14277 // RXN-12565 // RXN-12561 // KETOACYLCOATHIOL-RXN	EC-2.3.1.223 // EC-2.3.1.16 // EC-2.3.1.155 // EC-2.3.1.9
CPLX0-8187		periplasmic serine endoprotease	RXN0-3182	EC-3.4.21.M1
MONOMER-124475		oligoribonuclease // Orn // PDE-B	RXN-24101	
MONOMER-4862		Gad	GALACTONDEHYDRAT-RXN // GLUCONATE-DEHYDRATASE-RXN	EC-4.2.1.140 // EC-4.2.1.6 // EC-4.2.1.39
AT3G56940-MONOMER		magnesium protoporphyrin IX monomethyl ester cyclase // Magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase	RXN-13191 // RXN-5282 // RXN-5283 // RXN-5284	EC-1.14.13.81
HS05461-MONOMER	GO:0008152 // GO:0007485 // GO:0007530 // GO:0006694	testosterone 17&beta;-dehydrogenase 3 // 17-beta-HSD 3 // testicular 17-beta-hydroxysteroid dehydrogenase	RXN-22006 // 1.1.1.64-RXN // RXN-21978 // RXN-21984 // ESTRADIOL-17-BETA-DEHYDROGENASE-RXN	EC-1.1.1.64 // EC-1.1.1.62
CPLX-7888			6.3.5.7-RXN // GLUTAMIN-RXN // RXN-20082 // RXN-20083	EC-6.3.5.7 // EC-3.5.1.38 // EC-3.5.1.2
MONOMER-19059			RXN-16161	EC-5.1.3
ENSG00000148288-MONOMER	GO:0005975 // GO:0009247	globoside &alpha;-1,3-<i>N</i>-acetylgalactosaminyltransferase 1 // Forssman glycolipid synthetase-like protein	2.4.1.88-RXN	EC-2.4.1.88
MONOMER-19321		apicidin synthetase	RXN-16684 // RXN-16682 // RXN-16683	EC-6.3.2
CPLX-7534		&gamma;-glutamyl-isopropylamide hydroxylase	RXN-8941	
MONOMER-11884		diaminopimelate epimerase	DIAMINOPIMEPIM-RXN	EC-5.1.1.7
CPLX0-3931		ATP-dependent DNA helicase Rep	RXN-11135	EC-5.6.2.4
MONOMER-18648		germacrene A acid 8&beta;-hydroxylase	RXN-15460	EC-1.14.14.168
HS05725-MONOMER		phosphatidylinositol 3-kinase C2 domain-containing beta polypeptide // phosphoinositide 3-Kinase-C2-beta // PtdIns-3-kinase C2 beta // PI3K-C2beta // C2-PI3K // phosphoinositide-3-kinase, class 2, beta polypeptide	2.7.1.154-RXN	EC-2.7.1.154
