S_S5_Ca_088_v1v9_427	EC:4.1.3.42
S_S5_Ca_088_v1v9_428	EC:4.2.1.126
S_S5_Ca_088_v1v9_429	EC:2.6.1.83
S_S5_Ca_088_v1v9_430	EC:2.7.7.27
S_S5_Ca_088_v1v9_431	EC:2.7.7.27
S_S5_Ca_088_v1v9_432	EC:1.3.1.31
S_S5_Ca_088_v1v9_433	EC:1.15.1.2
S_S5_Ca_088_v1v9_434	EC:2.7.1.199
S_S5_Ca_088_v1v9_435	EC:2.10.1.1
S_S5_Ca_088_v1v9_436	EC:2.7.1.201
S_S5_Ca_088_v1v9_437	EC:6.3.2.8
S_S5_Ca_088_v1v9_438	EC:6.3.4.21
S_S5_Ca_088_v1v9_439	EC:2.7.1.208
S_S5_Ca_088_v1v9_440	EC:2.7.7.85
S_S5_Ca_088_v1v9_441	EC:2.7.1.205
S_S5_Ca_088_v1v9_442	EC:2.7.1.205
S_S5_Ca_088_v1v9_443	EC:2.7.1.205
S_S5_Ca_088_v1v9_444	EC:2.7.1.205
S_S5_Ca_088_v1v9_445	EC:2.7.1.205
S_S5_Ca_088_v1v9_446	EC:2.7.1.205
S_S5_Ca_088_v1v9_447	EC:2.7.1.205
S_S5_Ca_088_v1v9_448	EC:2.4.2.22
S_S5_Ca_088_v1v9_449	EC:2.7.9.3
S_S5_Ca_088_v1v9_450	EC:2.7.1.196
S_S5_Ca_088_v1v9_451	EC:2.7.1.196
S_S5_Ca_088_v1v9_452	EC:2.7.1.196
S_S5_Ca_088_v1v9_453	EC:2.7.1.196
S_S5_Ca_088_v1v9_454	EC:2.7.1.196
S_S5_Ca_088_v1v9_455	EC:2.7.1.196
S_S5_Ca_088_v1v9_456	EC:2.7.1.196
S_S5_Ca_088_v1v9_457	EC:3.6.1.45
S_S5_Ca_088_v1v9_458	EC:4.3.1.15
S_S5_Ca_088_v1v9_459	EC:2.9.1.1
S_S5_Ca_088_v1v9_460	EC:3.6.3.2
S_S5_Ca_088_v1v9_461	EC:3.6.3.29
S_S5_Ca_088_v1v9_462	EC:4.1.99.22
S_S5_Ca_088_v1v9_463	EC:4.6.1.17
S_S5_Ca_088_v1v9_464	EC:1.97.1.9
S_S5_Ca_088_v1v9_465	EC:2.7.1.191
S_S5_Ca_088_v1v9_466	EC:2.7.1.191
S_S5_Ca_088_v1v9_467	EC:3.6.1.23
S_S5_Ca_088_v1v9_468	EC:1.19.1.1
S_S5_Ca_088_v1v9_469	EC:1.19.1.1
S_S5_Ca_088_v1v9_470	EC:1.18.1.2
S_S5_Ca_088_v1v9_471	EC:1.18.1.2
S_S5_Ca_088_v1v9_472	EC:1.3.1.98
S_S5_Ca_088_v1v9_473	EC:1.3.1.98
S_S5_Ca_088_v1v9_474	EC:4.4.1.21
S_S5_Ca_088_v1v9_475	EC:1.1.5.3
S_S5_Ca_088_v1v9_476	EC:1.1.1.369
S_S5_Ca_088_v1v9_477	EC:1.1.1.18
S_S5_Ca_088_v1v9_478	EC:3.2.2.9
S_S5_Ca_088_v1v9_479	EC:5.1.1.13
S_S5_Ca_088_v1v9_480	EC:2.2.1.2
S_S5_Ca_088_v1v9_481	EC:3.5.1.24
S_S5_Ca_088_v1v9_482	EC:1.1.1.77
