S_S2_Bs_063_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_v1v9_188	RXN-9787
S_S2_Bs_063_v1v9_188	RXN-12588
S_S2_Bs_063_v1v9_188	RXN0-308
S_S2_Bs_063_v1v9_189	ABC-27-RXN
S_S2_Bs_063_v1v9_190	ABC-27-RXN
S_S2_Bs_063_v1v9_191	RXN-12720
S_S2_Bs_063_v1v9_191	SULFATE-ADENYLYLTRANS-RXN
S_S2_Bs_063_v1v9_192	RXN-12720
S_S2_Bs_063_v1v9_192	SULFATE-ADENYLYLTRANS-RXN
S_S2_Bs_063_v1v9_193	RXN0-6948
S_S2_Bs_063_v1v9_193	N-ACETYLTRANSFER-RXN
S_S2_Bs_063_v1v9_194	RXN-11837
S_S2_Bs_063_v1v9_195	RXN-11837
S_S2_Bs_063_v1v9_196	RXN-11837
S_S2_Bs_063_v1v9_197	UDPGLUCEPIM-RXN
S_S2_Bs_063_v1v9_198	2PGADEHYDRAT-RXN
S_S2_Bs_063_v1v9_199	ALPHAGALACTOSID-RXN
S_S2_Bs_063_v1v9_199	RXN-11501
S_S2_Bs_063_v1v9_199	RXN-12088
S_S2_Bs_063_v1v9_200	ALPHAGALACTOSID-RXN
S_S2_Bs_063_v1v9_200	RXN-11501
S_S2_Bs_063_v1v9_200	RXN-12088
S_S2_Bs_063_v1v9_201	ALPHAGALACTOSID-RXN
S_S2_Bs_063_v1v9_201	RXN-11501
S_S2_Bs_063_v1v9_201	RXN-12088
S_S2_Bs_063_v1v9_202	RXN-14455
S_S2_Bs_063_v1v9_203	RXN0-1134
S_S2_Bs_063_v1v9_204	RXN0-1134
S_S2_Bs_063_v1v9_205	1.8.4.12-RXN
S_S2_Bs_063_v1v9_206	1.8.4.12-RXN
S_S2_Bs_063_v1v9_207	RXN-8668
S_S2_Bs_063_v1v9_208	DIHYDROOROT-RXN
S_S2_Bs_063_v1v9_209	RXN-11396
S_S2_Bs_063_v1v9_210	RXN-11396
S_S2_Bs_063_v1v9_211	RXN-11396
S_S2_Bs_063_v1v9_212	GLUCOKIN-RXN
S_S2_Bs_063_v1v9_212	RXN66-521
S_S2_Bs_063_v1v9_212	RXN-1685
S_S2_Bs_063_v1v9_213	GLUCOKIN-RXN
S_S2_Bs_063_v1v9_213	RXN66-521
S_S2_Bs_063_v1v9_213	RXN-1685
S_S2_Bs_063_v1v9_214	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S2_Bs_063_v1v9_215	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Bs_063_v1v9_216	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Bs_063_v1v9_217	RXN-14970
S_S2_Bs_063_v1v9_217	RXN-14963
S_S2_Bs_063_v1v9_217	R601-RXN
