Unique	Level 1	Level 2	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary metabolite biosynthesis	NA	NA	NA	NA	NA	NA
SECONDARY-METABOLITE-BIOSYNTHESIS // Lipid-Biosynthesis	Biosynthesis	Secondary metabolite biosynthesis	Biosynthesis	Fatty acid and lipid biosynthesis	NA	NA	NA	NA
SECONDARY-METABOLITE-DEGRADATION	Degradation/utilization/assimilation	Secondary metabolite degradation	NA	NA	NA	NA	NA	NA
SECONDARY-METABOLITE-DEGRADATION // Activation	Degradation/utilization/assimilation	Secondary metabolite degradation	Metabolite activation/inactivation/interconversion	NA	NA	NA	NA	NA
SECONDARY-METABOLITE-DEGRADATION // Activation // Metabolic-Clusters	Degradation/utilization/assimilation	Secondary metabolite degradation	Metabolite activation/inactivation/interconversion	NA	Metabolic clusters	NA	NA	NA
SECONDARY-METABOLITE-DEGRADATION // Metabolic-Clusters	Degradation/utilization/assimilation	Secondary metabolite degradation	Metabolic clusters	NA	NA	NA	NA	NA
SECONDARY-METABOLITE-DEGRADATION // Super-Pathways	Degradation/utilization/assimilation	Secondary metabolite degradation	Superpathways	NA	NA	NA	NA	NA
Seleno-Amino-Acid-Detoxification // Noncarbon-Nutrients // Super-Pathways // Amino-Acid-Biosynthesis	Degradation/utilization/assimilation	Secondary metabolite degradation	Metabolite activation/inactivation/interconversion	NA	Metabolic clusters	NA	NA	NA
Storage-Compounds-Biosynthesis	Biosynthesis	Storage compound biosynthesis	NA	NA	NA	NA	NA	NA
Super-Pathways	Superpathways	NA	NA	NA	NA	NA	NA	NA
Super-Pathways // Amino-Acid-Biosynthesis	Superpathways	NA	Biosynthesis	Amino acid biosynthesis	NA	NA	NA	NA
Super-Pathways // AROMATIC-COMPOUNDS-BIOSYN	Superpathways	NA	Biosynthesis	Aromatic compound biosynthesis	NA	NA	NA	NA
Super-Pathways // Carbohydrates-Biosynthesis	Superpathways	NA	Biosynthesis	Carbohydrate biosynthesis	NA	NA	NA	NA
Super-Pathways // Carboxylate-Biosynthesis	Superpathways	NA	Biosynthesis	Carboxylic acid biosynthesis	NA	NA	NA	NA
Super-Pathways // Cell-Structure-Biosynthesis	Superpathways	NA	Biosynthesis	Cell structure biosynthesis	NA	NA	NA	NA
Super-Pathways // Cofactor-Biosynthesis	Superpathways	NA	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	NA	NA	NA	NA
Super-Pathways // Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Superpathways	NA	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	Biosynthesis	Tetrapyrrole biosynthesis	NA	NA
Super-Pathways // Energy-Metabolism	Superpathways	NA	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
Super-Pathways // Glycan-Pathways // Carbohydrates-Biosynthesis	Superpathways	NA	Glycan pathways	NA	Biosynthesis	Cell structure biosynthesis	Biosynthesis	NA
Super-Pathways // Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis	Superpathways	NA	Glycan pathways	NA	Biosynthesis	Cell structure biosynthesis	Biosynthesis	Carbohydrate biosynthesis
Super-Pathways // Glycan-Pathways // Cell-Structure-Biosynthesis // Lipid-Biosynthesis	Superpathways	NA	Glycan pathways	NA	Biosynthesis	Cell structure biosynthesis	Biosynthesis	Fatty acid and lipid biosynthesis
Super-Pathways // HORMONE-SYN	Superpathways	NA	Biosynthesis	"Hormone, neurotransmitter, and signaling molecule biosynthesis"	NA	NA	NA	NA
Super-Pathways // HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	Superpathways	NA	Biosynthesis	"Hormone, neurotransmitter, and signaling molecule biosynthesis"	Biosynthesis	Secondary metabolite biosynthesis	NA	NA
Super-Pathways // Lipid-Biosynthesis	Superpathways	NA	Biosynthesis	Fatty acid and lipid biosynthesis	NA	NA	NA	NA
Super-Pathways // Metabolic-Clusters // Amino-Acid-Biosynthesis	Superpathways	NA	Metabolic clusters	NA	Biosynthesis	Amino acid biosynthesis	NA	NA
Super-Pathways // Metabolic-Clusters // Carbohydrates-Biosynthesis	Superpathways	NA	Metabolic clusters	NA	Biosynthesis	Carbohydrate biosynthesis	NA	NA
Super-Pathways // Nucleotide-Biosynthesis	Superpathways	NA	Biosynthesis	Nucleoside and nucleotide biosynthesis	NA	NA	NA	NA
Super-Pathways // Other-biosynthesis	Superpathways	NA	Biosynthesis	Other biosynthesis	NA	NA	NA	NA
Super-Pathways // Polyamine-Biosynthesis	Superpathways	NA	Biosynthesis	"Amide, amidine, amine, and polyamine biosynthesis"	NA	NA	NA	NA
Super-Pathways // Polyprenyl-Biosynthesis	Superpathways	NA	Biosynthesis	Polyprenyl biosynthesis	NA	NA	NA	NA
Super-Pathways // Polyprenyl-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Superpathways	NA	Biosynthesis	Polyprenyl biosynthesis	Biosynthesis	Secondary metabolite biosynthesis	NA	NA
Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Superpathways	NA	Biosynthesis	Secondary metabolite biosynthesis	NA	NA	NA	NA
Super-Pathways // Storage-Compounds-Biosynthesis	Superpathways	NA	Biosynthesis	Storage compound biosynthesis	NA	NA	NA	NA
Super-Pathways // Tetrapyrrole-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Superpathways	NA	Biosynthesis	Tetrapyrrole biosynthesis	Biosynthesis	Secondary metabolite biosynthesis	NA	NA
Tetrapyrrole-Biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis	NA	NA	NA	NA	NA	NA
