Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-4621	Arsenic-Detoxification	Detoxification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7899	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
CITRULBIO-PWY	Citrulline-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8408	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-112	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7412	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6624	Salicylate-Glycosylation	Glycosylation-Pathways	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
HISTSYN-PWY	HISTIDINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5816	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8566	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-1121	Metabolic-Clusters // PLANT-CELL-STRUCTURE	Pathways // Cell-Structure-Biosynthesis	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-6281	Selenocysteine-Biosynthesis	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
ANAEROFRUCAT-PWY	Fermentation-to-Lactate // Super-Pathways	Fermentation-to-Acids // Pathways	Fermentation // Generalized-Reactions	Energy-Metabolism // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-8528	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5381	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis	Pathways // Cofactor-Biosynthesis // Biosynthesis	Generalized-Reactions // Biosynthesis // Pathways
HISDEG-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6491	D-Galacturonate-Degradation	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways
PWY-6442	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8042	Sphingolipid-Biosynthesis	Glycan-Pathways // Lipid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-8188	ALANINE-DEG // Fermentation-to-propanoate // Stickland-Reductive // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Fermentation-to-Acids // Amino-Acid-Fermentation // Pathways	Amino-Acid-Degradation // Fermentation // Generalized-Reactions	Degradation // Energy-Metabolism // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-8012	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8040	Antibiotic-Biosynthesis // POLYKETIDE-SYN	Toxin-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-7006	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7173	FLAVONOL-SYN // Glycosylation-Pathways	FLAVONOID-SYN // Other-biosynthesis	PHENYLPROPANOID-SYN // Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-8208	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6363	CYCLITOLS-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5464	Energy-Metabolism // Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-1921	Activation	Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6373	Acrylate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7397	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
ALANINE-VALINESYN-PWY	ALANINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6816	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5138	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8386	Benzene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6388	2-3-Butanediol-Degradation	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6941	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6730	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7396	Alcohol-Biosynthesis	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
PWY-7423	Hormone-Biosynthesis // Metabolic-Clusters	HORMONE-SYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
ALACAT2-PWY	ALANINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
P303-PWY	ANAEROBIC-RESPIRATION // Ammonia-oxidation // CHEMOAUTOTROPHIC-ENERGY-METABOLISM	Respiration // NITROGEN-DEG // Energy-Metabolism	Energy-Metabolism // Noncarbon-Nutrients // Pathways	Pathways // Degradation // Generalized-Reactions	Generalized-Reactions // Pathways // FRAMES	FRAMES // Generalized-Reactions // THINGS
PWY-7724	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-5726	s-Triazine-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5525	D-Glucuronate-Degradation	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways
PWY-6896	Thiamin-Salvage	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-8207	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
LYSINE-AMINOAD-PWY	LYSINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY66-391	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6430	Pyrimidine-Base-Degradation	Pyrimidine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions
PWY-5754	4-Hydroxybenzoate-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5441	Interconversion	Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5473	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5669	PhosphatidylethanolamineBiosynthesis // Phosphatidylserine-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6441	SPERMINE-SPERMIDINE-DEG	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5505	GLUTAMATE-SYN // GLUTAMINE-SYN // Metabolic-Clusters // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7675	KDO-Lipid-IV-Transfer	Lipopolysaccharide-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5832	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-2002	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	PHYTOALEXIN-SYN // FLAVONOID-SYN	Toxin-Biosynthesis // PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY66-409	Purine-Nucleotides-Salvage // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7356	Thiamin-Salvage	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY0-1466	Trehalose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7210	Metabolic-Clusters // Pyrimidine-Nucleotide-Salvage	Pathways // PYR-NUC-SYN	Generalized-Reactions // Nucleotide-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions
GLUTORN-PWY	L-Ornithine-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PENTOSE-P-PWY	Pentose-Phosphate-Cycle // Super-Pathways	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-5372	Carbon-tetrachloride-degradation	CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-3022	CYANOGENIC-GLUCOSIDE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5670	Lipid-Biosynthesis // TRITERPENOID-SYN	Biosynthesis // Terpenoid-Biosynthesis	Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY-5315	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY0-1338	Antibiotic-Resistance // Lipopolysaccharide-Biosynthesis	Detoxification // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-5298	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
COMPLETE-ARO-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-5005	BIOTIN-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6448	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY0-1277	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-6694	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5307	ANTHOCYANIN-SYN	FLAVONOID-SYN // Pigment-Biosynthesis	PHENYLPROPANOID-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	AROMATIC-COMPOUNDS-BIOSYN // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7158	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7008	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7677	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PHOSPHONOTASE-PWY	2-Aminoethylphosphonate-Degradation	Phosphonate-Degradation	Phophonate-Metabolism	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation
PWY-7627	Nitrophenol-Degradation	Nitroaromatic-Degradation // Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-6590	Pyruvate-Degradation // Super-Pathways	Fermentation // Pathways	Energy-Metabolism // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
GLUTSYN-PWY	GLUTAMATE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY0-1325	ASPARAGINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7715	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-5361	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8416	Nucleotide-Alditols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
P165-PWY	Super-Pathways // Urate-Degradation	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-6714	L-rhamnose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8514	Fluorescence	Bioluminescence-Fluoresence-Chromoproteins	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-3722	Betaine-Biosynthesis	Organic-solutes-Biosynthesis // Polyamine-Biosynthesis	Metabolic-Regulators // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-8421	LPS-Biosynthesis-Final-Steps	Carbohydrates-Biosynthesis // Glycan-Pathways // Lipopolysaccharide-Biosynthesis	Biosynthesis // Pathways // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Generalized-Reactions // Biosynthesis	Generalized-Reactions // FRAMES // Pathways	FRAMES // THINGS // Generalized-Reactions
PWY-7910	Aroma-Compound-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7698	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-3901	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7936	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5493	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES
NOPALINEDEG-PWY	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7731	Hydrogen-Production // Super-Pathways	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-5665	Vanillin-Biosynthesis	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
ALLANTOINDEG-PWY	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-7542	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5755	4-Hydroxybenzoate-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8442	XANTHONE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6602	FLAVANONES-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY0-1600	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8055	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5859	CINNAMATE-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-5861	Demethylmenaquinol-8-Biosynthesis // Super-Pathways	Demethylmenaquinone-Biosynthesis // Pathways	Quinone-Biosynthesis // Generalized-Reactions	Electron-Carrier-Biosynthesis // FRAMES	Carriers-Biosynthesis // THINGS	Cofactor-Biosynthesis // 
PWY-8014	PHENYLALANINE-DEG // Stickland-Reductive	Proteinogenic-Amino-Acids-Degradation // Amino-Acid-Fermentation	Amino-Acid-Degradation // Fermentation	Degradation // Energy-Metabolism	Pathways	Generalized-Reactions
PWY-8285	Kdo-lipid-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-5531	Chlorophyllide-a-Biosynthesis	Chlorophyll-Biosynthesis	Pigment-Biosynthesis // Porphyrin-Compounds-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways
PWY-1981	Indole-3-Acetate-Inactivation	Inactivation	Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions	FRAMES
PWY-6532	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6056	Dimethylsulfoniopropionate-Degradation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY0-1280	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
MANNCAT-PWY	D-Mannose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8130	5-Deoxyadenosine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5698	Allantoin-degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
ERGOSTEROL-SYN-PWY	Ergosterol-Biosynthesis // Super-Pathways	Sterol-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6376	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-581	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
GLUDEG-I-PWY	4-Aminobutyraye-Degradation // GLUTAMATE-DEG // Super-Pathways	AMINE-DEG // Proteinogenic-Amino-Acids-Degradation // Pathways	Degradation // Amino-Acid-Degradation // Generalized-Reactions	Pathways // Degradation // FRAMES	Generalized-Reactions // Pathways // THINGS	FRAMES // Generalized-Reactions // 
PWY-8085	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6818	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5129	Sphingolipid-Biosynthesis	Glycan-Pathways // Lipid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-6385	Peptidoglycan-Biosynthesis // Super-Pathways	Cell-Wall-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6684	GLUCOSINOLATE-DEG	Activation // N-CONTAINING-GLUCOSIDE-DEG	Activation-Inactivation-Interconversion // N-CONTAINING-SECONDARY-CMPD-DEG	Pathways // SECONDARY-METABOLITE-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways
PWY-7690	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6919	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6012-1	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY66-368	Acetyl-CoA-Biosynthesis	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7208	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7395	Sugar-Derivatives	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7470	PhosphatidylcholineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY0-1356	ANAEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-2201	Folate-Transformations	Folate-Biosynthesis	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways
PWY-5668	Cardiolipin-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5876	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-8098	Organic-solutes-Biosynthesis	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7374	14-Dihydroxy-6-Naphthoate-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-8084	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7770	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5708	S-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6438	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5335	Sulfide-Oxidation // Super-Pathways	Sulfur-Metabolism // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-8121	Sugar-Derivatives	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
CATECHOL-ORTHO-CLEAVAGE-PWY	Catechol-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY8J2-23	Methylglyoxal-Detoxification	Aldehyde-Degradation // Detoxification	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-8606	Strigolactone-Hormones-Biosynthesis	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
PWY-7455	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7652	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7751	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5273	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-6277	AIR-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
METHANOGENESIS-PWY	METHANOGENESIS	ANAEROBIC-RESPIRATION	Respiration	Energy-Metabolism	Pathways	Generalized-Reactions
