ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_S2_Ea_076_v1v9_default_parsed_report.tsv	379	379	249	274	105	13	4	16	6	0	0	104	206	62	19	375	190
S_NS6_Ao_031_default_parsed_report.tsv	332	332	216	229	103	16	3	12	5	0	1	63	183	56	15	328	194
S_NS1_Bv_007_v1v9_default_parsed_report.tsv	390	390	274	272	118	21	5	12	7	0	1	88	201	68	19	386	214
S_S2_Et_075_default_parsed_report.tsv	405	405	275	295	110	17	4	15	7	0	1	117	220	68	18	402	199
S_NS6_Cb_042_v1v9_default_parsed_report.tsv	410	410	277	300	110	13	5	14	5	0	0	117	223	79	17	407	196
S_NS1_Et_015_v1v9_default_parsed_report.tsv	405	405	274	295	110	17	4	15	7	0	1	117	220	68	18	402	199
S_S2_Bd_064_v1v9_default_parsed_report.tsv	396	396	280	279	117	22	5	13	7	0	1	92	205	67	20	392	217
S_NS1_Ao_003_v1v9_default_parsed_report.tsv	332	332	215	230	102	16	3	12	5	0	1	64	184	55	15	328	194
S_S5_Fp_105_default_parsed_report.tsv	333	333	216	239	94	11	5	14	5	0	0	73	186	56	17	330	182
S_S5_Cc_097_default_parsed_report.tsv	412	412	277	301	111	15	4	15	5	0	0	122	220	77	16	409	192
S_S2_Bs_063_v1v9_default_parsed_report.tsv	454	454	334	316	138	17	8	16	5	0	1	128	225	78	22	451	224
S_NS1_Bv_007_default_parsed_report.tsv	390	390	274	272	118	21	5	12	7	0	1	88	201	68	19	386	214
S_S2_Bd_064_default_parsed_report.tsv	396	396	280	279	117	22	5	13	7	0	1	92	205	67	20	392	217
S_NS1_Bu_006_default_parsed_report.tsv	368	368	254	255	113	21	5	12	5	0	1	76	200	65	17	364	207
S_NS1_Bt_005_v1v9_default_parsed_report.tsv	380	380	267	264	116	20	5	11	6	0	1	89	203	68	18	376	203
S_NS1_Cc_012_default_parsed_report.tsv	410	410	278	299	111	15	4	15	5	0	0	120	217	77	16	407	192
S_NS6_Sw_060_default_parsed_report.tsv	359	359	227	249	110	10	7	13	6	0	0	91	193	56	18	355	190
S_S2_Blss_067_default_parsed_report.tsv	335	335	194	233	102	14	4	13	3	0	0	76	184	63	14	332	176
S_NS1_Am_001_default_parsed_report.tsv	331	331	218	232	99	13	5	14	3	0	0	56	189	64	16	327	191
S_S2_Cc_069_default_parsed_report.tsv	322	322	207	233	89	7	4	15	4	0	0	63	186	57	12	319	177
S_NS6_Fp_052_default_parsed_report.tsv	362	362	240	258	104	8	3	13	5	0	1	100	200	68	15	359	175
S_NS6_Blss_040_v1v9_default_parsed_report.tsv	332	332	193	234	98	14	3	13	3	0	0	76	184	63	14	329	173
S_NS1_Am_001_v1v9_default_parsed_report.tsv	331	331	218	232	99	13	5	14	3	0	0	56	189	64	16	327	191
